owner,variable,gen_tech,gen_vintage,gen_is_intermittent,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
HECO,amortized_cost,Waiau_10,1973,0,1739106.4230390503,1739106.4230390503,1739106.4230390503,1739106.4230390503,1739106.4230390503,1739106.4230390503,1739106.4230390503,1739106.4230390503,1739106.4230390503,1739106.4230390503,1739106.4230390503,1739106.4230390503,1739106.4230390503,1739106.4230390503,1739106.4230390503,1739106.4230390503,1739106.4230390503,1739106.4230390503,1739106.4230390503,1739106.4230390503,1739106.4230390503,1739106.4230390503,1739106.4230390503,1739106.4230390503,1739106.4230390503,1739106.4230390503,1739106.4230390503,1739106.4230390503,1739106.4230390503,1739106.4230390503
HECO,amortized_cost,Waiau_6,1961,0,1897858.041408737,1897858.041408737,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HECO,amortized_cost,Waiau_7,1966,0,2970370.5487661418,2970370.5487661418,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HECO,amortized_cost,Waiau_8,1968,0,3100277.8834934174,3100277.8834934174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HECO,amortized_cost,Waiau_9,1973,0,1843661.9194141438,1843661.9194141438,1843661.9194141438,1843661.9194141438,1843661.9194141438,1843661.9194141438,1843661.9194141438,1843661.9194141438,1843661.9194141438,1843661.9194141438,1843661.9194141438,1843661.9194141438,1843661.9194141438,1843661.9194141438,1843661.9194141438,1843661.9194141438,1843661.9194141438,1843661.9194141438,1843661.9194141438,1843661.9194141438,1843661.9194141438,1843661.9194141438,1843661.9194141438,1843661.9194141438,1843661.9194141438,1843661.9194141438,1843661.9194141438,1843661.9194141438,1843661.9194141438,1843661.9194141438
HECO,capacity_added,Battery_Conting,2020,0,62.26636769883547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HECO,capacity_added,Battery_Conting,2035,0,,,,,,,,,,,,,,,,59.83547796162856,,,,,,,,,,,,,,
HECO,capacity_in_place,Airport_DSG,2013,0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
HECO,capacity_in_place,Battery_Conting,2020,0,62.26636769883547,62.26636769883547,62.26636769883547,62.26636769883547,62.26636769883547,62.26636769883547,62.26636769883547,62.26636769883547,62.26636769883547,62.26636769883547,62.26636769883547,62.26636769883547,62.26636769883547,62.26636769883547,62.26636769883547,,,,,,,,,,,,,,,
HECO,capacity_in_place,Battery_Conting,2035,0,,,,,,,,,,,,,,,,59.83547796162856,59.83547796162856,59.83547796162856,59.83547796162856,59.83547796162856,59.83547796162856,59.83547796162856,59.83547796162856,59.83547796162856,59.83547796162856,59.83547796162856,59.83547796162856,59.83547796162856,59.83547796162856,59.83547796162856
HECO,capacity_in_place,CIP_CT,2009,0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0
